article_id,prod_name,product_type_name,product_group_name,colour_group_name,department_name,section_name,garment_group_name,detail_desc,image_url,combined_features
0511569003,SOOKIE tights,Leggings/Tights,Garment Lower body,Dark Purple,Ladies Sport Bottoms,Ladies H&M Sport,Jersey Fancy,"Sports tights in fast-drying functional fabric with wide ribbing to hold in and shape the waist, and a lace pattern at the knees.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/051/0511569003.jpg,"sookie tights leggings/tights garment lower body dark purple ladies sport bottoms ladies h&m sport jersey fancy sports tights in fast-drying functional fabric with wide ribbing to hold in and shape the waist, and a lace pattern at the knees."
0518318001,Pat ls shaggy flanel check,Shirt,Garment Upper body,Dark Red,Shirt,Contemporary Casual,Shirts,"Checked shirt in soft cotton flannel with a turn-down collar, classic front and open chest pocket. Long sleeves and cuffs with adjustable fasteners, a yoke with a box pleat at the back and a rounded hem. Slightly longer at the back. Regular fit – a classic fit with good room for movement and a gently shaped waist to create a comfortable, tailored silhouette.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/051/0518318001.jpg,"pat ls shaggy flanel check shirt garment upper body dark red shirt contemporary casual shirts checked shirt in soft cotton flannel with a turn-down collar, classic front and open chest pocket. long sleeves and cuffs with adjustable fasteners, a yoke with a box pleat at the back and a rounded hem. slightly longer at the back. regular fit – a classic fit with good room for movement and a gently shaped waist to create a comfortable, tailored silhouette."
0491070012,Bob Sport 5-p midshaft BB,Socks,Socks & Tights,Grey,Kids Boy Socks,Boys Underwear & Basics,Socks and Tights,Sports socks in a cotton blend.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/049/0491070012.jpg,bob sport 5-p midshaft bb socks socks & tights grey kids boy socks boys underwear & basics socks and tights sports socks in a cotton blend.
0333353009,XMAS Fido dog sweater,Other accessories,Accessories,Dark Green,Other items,Womens Small accessories,Accessories,"Jacquard-knit dog jumper in a cotton blend with a festive pattern, ribbed collar and sleeves at the front. Length at the hem 25 cm, collar circumference 24 cm.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/033/0333353009.jpg,"xmas fido dog sweater other accessories accessories dark green other items womens small accessories accessories jacquard-knit dog jumper in a cotton blend with a festive pattern, ribbed collar and sleeves at the front. length at the hem 25 cm, collar circumference 24 cm."
0523404005,Howie Shorts,Shorts,Garment Lower body,Dark Grey,Men Sport Woven,Men H&M Sport,Jersey Fancy,"Short sports shorts in fast-drying, breathable mesh with an elasticated waist and side pockets. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/052/0523404005.jpg,"howie shorts shorts garment lower body dark grey men sport woven men h&m sport jersey fancy short sports shorts in fast-drying, breathable mesh with an elasticated waist and side pockets. unlined."
0485539040,Daniel 3-p boxer SB,Underwear bottom,Underwear,Light Blue,Kids Boy UW/NW,Boys Underwear & Basics,"Under-, Nightwear","Boxer shorts in cotton jersey with short legs, an elasticated waist and lined front. The cotton content of the boxer shorts is organic.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/048/0485539040.jpg,"daniel 3-p boxer sb underwear bottom underwear light blue kids boy uw/nw boys underwear & basics under-, nightwear boxer shorts in cotton jersey with short legs, an elasticated waist and lined front. the cotton content of the boxer shorts is organic."
0488697004,Nohar Sneaker,Sneakers,Shoes,Light Beige,Shoes,Men Shoes,Shoes,Slip-on trainers with elastic gores in the sides and a loop at the back. Imitation cork insoles and textured rubber soles.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/048/0488697004.jpg,nohar sneaker sneakers shoes light beige shoes men shoes shoes slip-on trainers with elastic gores in the sides and a loop at the back. imitation cork insoles and textured rubber soles.
0464297033,Greta Thong Mynta Low 3p,Underwear bottom,Underwear,Black,Casual Lingerie,Womens Lingerie,"Under-, Nightwear","Thong briefs in cotton jersey with a wide lace trim at the top. Low waist, lined gusset, narrow sides and a string back.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/046/0464297033.jpg,"greta thong mynta low 3p underwear bottom underwear black casual lingerie womens lingerie under-, nightwear thong briefs in cotton jersey with a wide lace trim at the top. low waist, lined gusset, narrow sides and a string back."
0378447006,V-Neck Milan,Sweater,Garment Upper body,Dark Blue,Knitwear,Men Suits & Tailoring,Knitwear,"Jumper in fine-knit merino wool with a V-neck and ribbing around the neckline, cuffs and hem.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/037/0378447006.jpg,"v-neck milan sweater garment upper body dark blue knitwear men suits & tailoring knitwear jumper in fine-knit merino wool with a v-neck and ribbing around the neckline, cuffs and hem."
0532578030,Annette,Sweater,Garment Upper body,Off White,Knitwear,Womens Everyday Collection,Knitwear,"Jumper in a soft, loose knit with a V-neck, long raglan sleeves and roll edges at the cuffs and hem. Longer at the back.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/053/0532578030.jpg,"annette sweater garment upper body off white knitwear womens everyday collection knitwear jumper in a soft, loose knit with a v-neck, long raglan sleeves and roll edges at the cuffs and hem. longer at the back."
0517921001,Dotty Hoodie,Bra,Underwear,Light Pink,Nightwear,"Womens Nightwear, Socks & Tigh","Under-, Nightwear","Longer hooded top in soft fleece with long raglan sleeves, a kangaroo pocket and ribbing at the cuffs and hem. Soft and fluffy inside.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/051/0517921001.jpg,"dotty hoodie bra underwear light pink nightwear womens nightwear, socks & tigh under-, nightwear longer hooded top in soft fleece with long raglan sleeves, a kangaroo pocket and ribbing at the cuffs and hem. soft and fluffy inside."
0506166049,Maja  SS,T-shirt,Garment Upper body,Dark Blue,Jersey,H&M+,Jersey Fancy,Short-sleeved jersey top.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/050/0506166049.jpg,maja ss t-shirt garment upper body dark blue jersey h&m+ jersey fancy short-sleeved jersey top.
0474461047,EVERT SHORTS,Shorts,Garment Lower body,Light Beige,Shorts,Contemporary Smart,Shorts,"Chino shorts in washed cotton poplin with a zip fly, side pockets, welt back pockets with a button and legs with creases.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/047/0474461047.jpg,"evert shorts shorts garment lower body light beige shorts contemporary smart shorts chino shorts in washed cotton poplin with a zip fly, side pockets, welt back pockets with a button and legs with creases."
0522043007,Ezra tank,Top,Garment Upper body,Black,Jersey fancy,Womens Everyday Collection,Jersey Fancy,"Short, wide top in crushed velvet with a V-neck front and back.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/052/0522043007.jpg,"ezra tank top garment upper body black jersey fancy womens everyday collection jersey fancy short, wide top in crushed velvet with a v-neck front and back."
0496629006,LILY Beanie,Hat/beanie,Accessories,Other Pink,Kids Girl Big Acc,Kids Outerwear,Accessories,"Hat in a soft, fine knit with a faux fur pompom at the top and embroidery on the turned-up hem.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/049/0496629006.jpg,"lily beanie hat/beanie accessories other pink kids girl big acc kids outerwear accessories hat in a soft, fine knit with a faux fur pompom at the top and embroidery on the turned-up hem."
0484398062,SUPREME tights,Leggings/Tights,Garment Lower body,Black,Ladies Sport Bottoms,Ladies H&M Sport,Jersey Fancy,Sports tights in fast-drying functional fabric with wide ribbing to hold in and shape the waist. Concealed mesh key pocket in the waistband.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/048/0484398062.jpg,supreme tights leggings/tights garment lower body black ladies sport bottoms ladies h&m sport jersey fancy sports tights in fast-drying functional fabric with wide ribbing to hold in and shape the waist. concealed mesh key pocket in the waistband.
0485539043,Daniel 3-p boxer SB,Underwear bottom,Underwear,Orange,Kids Boy UW/NW,Boys Underwear & Basics,"Under-, Nightwear","Boxer shorts in cotton jersey with short legs, an elasticated waist and lined front. The cotton content of the boxer shorts is organic.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/048/0485539043.jpg,"daniel 3-p boxer sb underwear bottom underwear orange kids boy uw/nw boys underwear & basics under-, nightwear boxer shorts in cotton jersey with short legs, an elasticated waist and lined front. the cotton content of the boxer shorts is organic."
0400285009,Straight R.W,Trousers,Garment Lower body,Black,Denim Trousers,Ladies Denim,Trousers Denim,"5-pocket jeans in washed stretch denim with hard-worn details, a regular waist, zip fly and button, and straight legs.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/040/0400285009.jpg,"straight r.w trousers garment lower body black denim trousers ladies denim trousers denim 5-pocket jeans in washed stretch denim with hard-worn details, a regular waist, zip fly and button, and straight legs."
0302311022,Wales sweater,Sweater,Garment Upper body,Greyish Beige,Knitwear,Contemporary Smart,Knitwear,"Long-sleeved jumper in a soft, textured-knit cotton blend with ribbing around the neckline, cuffs and hem.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/030/0302311022.jpg,"wales sweater sweater garment upper body greyish beige knitwear contemporary smart knitwear long-sleeved jumper in a soft, textured-knit cotton blend with ribbing around the neckline, cuffs and hem."
0497637015,Bobby (1),Jacket,Garment Upper body,Dark Blue,Jacket Casual,Mens Outerwear,Outdoor,"Nylon jacket with a zip down the front, flap front pockets with a press-stud, a zipped sleeve pocket and one inner pocket. Ribbing around the neckline, cuffs and hem. Fine-knit lining.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/049/0497637015.jpg,"bobby (1) jacket garment upper body dark blue jacket casual mens outerwear outdoor nylon jacket with a zip down the front, flap front pockets with a press-stud, a zipped sleeve pocket and one inner pocket. ribbing around the neckline, cuffs and hem. fine-knit lining."
0527409002,Amour,Sweater,Garment Upper body,Grey,Knitwear,Womens Everyday Collection,Knitwear,"Top in a soft, fine knit containing some wool with cuffs and extended hem in a cotton weave with buttons.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/052/0527409002.jpg,"amour sweater garment upper body grey knitwear womens everyday collection knitwear top in a soft, fine knit containing some wool with cuffs and extended hem in a cotton weave with buttons."
0276242019,Dress LS Basic,Dress,Garment Full body,Red,Baby basics,Baby Essentials & Complements,Jersey Basic,"Long-sleeved dress in soft, patterned organic cotton jersey.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/027/0276242019.jpg,"dress ls basic dress garment full body red baby basics baby essentials & complements jersey basic long-sleeved dress in soft, patterned organic cotton jersey."
0524770004,Gilmore Scarf,Scarf,Accessories,White,Scarves,Womens Big accessories,Accessories,Large square scarf in a soft weave with fringe trims along the sides. Size 130x130 cm.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/052/0524770004.jpg,gilmore scarf scarf accessories white scarves womens big accessories accessories large square scarf in a soft weave with fringe trims along the sides. size 130x130 cm.
0522398055,Vincent,Top,Garment Upper body,Other,Jersey fancy,Womens Everyday Collection,Jersey Fancy,"V-neck top in airy jersey made from recycled polyester. Buttons at the top, 3/4-length sleeves and a rounded hem with slits in the sides. Slightly longer at the back.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/052/0522398055.jpg,"vincent top garment upper body other jersey fancy womens everyday collection jersey fancy v-neck top in airy jersey made from recycled polyester. buttons at the top, 3/4-length sleeves and a rounded hem with slits in the sides. slightly longer at the back."
0428291016,Tigra knitted headband,Hat/beanie,Accessories,Dark Pink,Knit & Woven,Divided Accessories,Accessories,Knitted headband containing some mohair with a wrapover detail at the front.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/042/0428291016.jpg,tigra knitted headband hat/beanie accessories dark pink knit & woven divided accessories accessories knitted headband containing some mohair with a wrapover detail at the front.
0504890004,Flirty Timmy studs,Earring,Accessories,Gold,Jewellery,Womens Small accessories,Accessories,Large metal earrings with faceted plastic beads. Diameter approx. 3.5 cm.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/050/0504890004.jpg,flirty timmy studs earring accessories gold jewellery womens small accessories accessories large metal earrings with faceted plastic beads. diameter approx. 3.5 cm.
0366859024,Reggie solid chino shorts,Shorts,Garment Lower body,Light Beige,Shorts,Contemporary Casual,Shorts,"Chino shorts in washed cotton twill with a zip fly, side pockets, a coin pocket and welt back pockets. Regular fit.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/036/0366859024.jpg,"reggie solid chino shorts shorts garment lower body light beige shorts contemporary casual shorts chino shorts in washed cotton twill with a zip fly, side pockets, a coin pocket and welt back pockets. regular fit."
0515937007,Rory top,T-shirt,Garment Upper body,Green,Jersey,Womens Casual,Jersey Fancy,Top in soft organic cotton jersey with short cap sleeves and a twisted trim around the neckline.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/051/0515937007.jpg,rory top t-shirt garment upper body green jersey womens casual jersey fancy top in soft organic cotton jersey with short cap sleeves and a twisted trim around the neckline.
0510060001,Janeiro padded wireless cotton,Bra,Underwear,Dark Grey,Expressive Lingerie,Womens Lingerie,"Under-, Nightwear","Non-wired bra in soft cotton jersey with moulded, lightly padded cups that give the bust a natural shape and light support.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/051/0510060001.jpg,"janeiro padded wireless cotton bra underwear dark grey expressive lingerie womens lingerie under-, nightwear non-wired bra in soft cotton jersey with moulded, lightly padded cups that give the bust a natural shape and light support."
0457722001,Axel fancy denim shorts (1),Shorts,Garment Lower body,Dark Grey,Shorts DS,Divided Selected,Shorts,"5-pocket shorts in washed denim with hard-worn details, a regular waist, zip fly and button, and raw-edge hems.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/045/0457722001.jpg,"axel fancy denim shorts (1) shorts garment lower body dark grey shorts ds divided selected shorts 5-pocket shorts in washed denim with hard-worn details, a regular waist, zip fly and button, and raw-edge hems."
0283236026,Howie SS Shirt,Shirt,Garment Upper body,Black,Shirt,Contemporary Street,Shirts,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/028/0283236026.jpg,"howie ss shirt shirt garment upper body black shirt contemporary street shirts shirt in a cotton weave with a button-down collar, classic front and yoke at the back. open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. regular fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
0535877016,Crystal earring pack,Earring,Accessories,Light Pink,Small Accessories,Divided Accessories,Accessories,Metal stud earrings in various sizes and designs. Size from 0.2 cm to 0.5 cm.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/053/0535877016.jpg,crystal earring pack earring accessories light pink small accessories divided accessories accessories metal stud earrings in various sizes and designs. size from 0.2 cm to 0.5 cm.
0484963005,Maserati,Dress,Garment Full body,Light Pink,Dress,Womens Tailoring,Dresses Ladies,"Short dress in airy chiffon in a narrow cut at the top with a small, frilled collar. Gathers around the neck and a deep opening at the back with a button at the back of the neck. Smocked seam at the waist and bell-shaped skirt. Lined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/048/0484963005.jpg,"maserati dress garment full body light pink dress womens tailoring dresses ladies short dress in airy chiffon in a narrow cut at the top with a small, frilled collar. gathers around the neck and a deep opening at the back with a button at the back of the neck. smocked seam at the waist and bell-shaped skirt. lined."
0528070001,Emelie tube,Scarf,Accessories,Black,Knit & Woven,Divided Accessories,Accessories,"Tube scarf in a soft knit. Width 65 cm, circumference 166 cm.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/052/0528070001.jpg,"emelie tube scarf accessories black knit & woven divided accessories accessories tube scarf in a soft knit. width 65 cm, circumference 166 cm."
0508929060,NIKE,Trousers,Garment Lower body,Other Red,Kids Girl Jersey Basic,Girls Underwear & Basics,Jersey Basic,Leggings in sturdy jersey made from an organic cotton blend with an elasticated waist.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/050/0508929060.jpg,nike trousers garment lower body other red kids girl jersey basic girls underwear & basics jersey basic leggings in sturdy jersey made from an organic cotton blend with an elasticated waist.
0517729093,Anna headband,Hair/alice band,Accessories,Black,Hair Accessories,Womens Small accessories,Accessories,Hairband with a knot detail at the front and covered elastic at the back.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/051/0517729093.jpg,anna headband hair/alice band accessories black hair accessories womens small accessories accessories hairband with a knot detail at the front and covered elastic at the back.
0516000020,Agnes LS R-neck,T-shirt,Garment Upper body,White,Jersey,Womens Tailoring,Jersey Fancy,Fitted top in stretch jersey with a round neck and long sleeves.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/051/0516000020.jpg,agnes ls r-neck t-shirt garment upper body white jersey womens tailoring jersey fancy fitted top in stretch jersey with a round neck and long sleeves.
0386859028,T-Shirt Allington R-neck!,T-shirt,Garment Upper body,Dark Pink,Knitwear,Men Suits & Tailoring,Knitwear,T-shirt in premium cotton jersey.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/038/0386859028.jpg,t-shirt allington r-neck! t-shirt garment upper body dark pink knitwear men suits & tailoring knitwear t-shirt in premium cotton jersey.
0462128028,LS PJ,Pyjama jumpsuit/playsuit,Nightwear,Light Green,Baby Nightwear,Baby Essentials & Complements,"Under-, Nightwear","Long-sleeved all-in-one pyjamas in soft, printed organic cotton jersey with press-stud fastenings.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/046/0462128028.jpg,"ls pj pyjama jumpsuit/playsuit nightwear light green baby nightwear baby essentials & complements under-, nightwear long-sleeved all-in-one pyjamas in soft, printed organic cotton jersey with press-stud fastenings."
0485689016,TP Bobby l/l pj BB,Pyjama set,Nightwear,Yellow,Young Boy UW/NW,Boys Underwear & Basics,"Under-, Nightwear","Pyjamas in soft, printed cotton jersey. Top with long sleeves and ribbed cuffs. Bottoms with an elasticated waist and ribbed hems.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/048/0485689016.jpg,"tp bobby l/l pj bb pyjama set nightwear yellow young boy uw/nw boys underwear & basics under-, nightwear pyjamas in soft, printed cotton jersey. top with long sleeves and ribbed cuffs. bottoms with an elasticated waist and ribbed hems."
0488555002,Michelin Puff Jacket,Jacket,Garment Upper body,Black,Outdoor/Blazers DS,Divided Selected,Outdoor,"Padded jacket in a coated weave with a padded drawstring hood and small stand-up collar.  Zip down the front, side pockets and ribbing at the cuffs and hem. Lining in a contrasting colour.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/048/0488555002.jpg,"michelin puff jacket jacket garment upper body black outdoor/blazers ds divided selected outdoor padded jacket in a coated weave with a padded drawstring hood and small stand-up collar. zip down the front, side pockets and ribbing at the cuffs and hem. lining in a contrasting colour."
0241436001,Fix it tote bag,Bag,Accessories,Black,Bags,Womens Big accessories,Accessories,"Soft handbag in imitation leather with two handles, a zip and a detachable shoulder strap at the top, and three inner compartments, one with a zip. Lined. Size 27x31 cm.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/024/0241436001.jpg,"fix it tote bag bag accessories black bags womens big accessories accessories soft handbag in imitation leather with two handles, a zip and a detachable shoulder strap at the top, and three inner compartments, one with a zip. lined. size 27x31 cm."
0496762020,Summer strap dress,Dress,Garment Full body,Dark Blue,Basic 1,Divided Basics,Jersey Basic,"Short dress in soft jersey with a V-neck, narrow, adjustable shoulder straps, seam at the waist and flared skirt.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/049/0496762020.jpg,"summer strap dress dress garment full body dark blue basic 1 divided basics jersey basic short dress in soft jersey with a v-neck, narrow, adjustable shoulder straps, seam at the waist and flared skirt."
0356289076,JESSY SKIRT,Skirt,Garment Lower body,Dark Green,Skirts,Divided Collection,Skirts,Short skater skirt in soft fabric. Unlined.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/035/0356289076.jpg,jessy skirt skirt garment lower body dark green skirts divided collection skirts short skater skirt in soft fabric. unlined.
0514577017,Alex tee,Blouse,Garment Upper body,Greenish Khaki,Blouse,Womens Casual,Blouses,Short-sleeved blouse in an airy weave with a round neckline and short slits in the sides. Slightly longer at the back.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/051/0514577017.jpg,alex tee blouse garment upper body greenish khaki blouse womens casual blouses short-sleeved blouse in an airy weave with a round neckline and short slits in the sides. slightly longer at the back.
